Main_Studio;Episodes;Rating Score;Rating Score Rank;Popularity Rank;Members;Favorites;Reviewers
Telecom Animation Film;13;6.641;6225;4797;23508;153;74607460
A.C.G.T.;12;6.611;6443;1929;121289;519;4293342933
J.C.Staff;24;6.381;7803;2936;62826;396;1353613536
CloverWorks;12;6.341;8016;2747;70825;208;2200922009
Studio A-CAT;12;6.331;8110;1788;134492;645;5476954769
Sola Digital Arts;13;6.291;8342;4547;26863;98;52225222
J.C.Staff;12;6.231;8690;942;273612;1203;1.31208E+11
Bridge;92;6.201;8864;5260;18794;88;49084908
ILCA;13;6.181;8947;6488;10974;35;42474247
LIDENFILMS;12;6.061;9628;3374;48127;228;1334813348
Signal.MD;24;6.031;9800;615;402105;2557;1.41517E+11
OLM;50;5.941;10220;12725;1521;11;178178
OLM;51;5.891;10490;12205;1805;10;263263
Asahi Production;12;5.861;10646;3164;54369;291;1538215382
Space Neko Company;12;5.841;10718;11074;2555;11;232232
Akatsuki;8;5.731;11234;6454;11111;46;32863286
Lapin Track;24;5.721;11280;7051;8998;31;37383738
Kachidoki Studio;50;5.711;11323;12330;1729;6;227227
Diomedéa;12;5.461;12225;4061;33995;230;1102611026
Geek Toys;12;5.311;12650;4896;22373;102;47224722
Kigumi;12;3.821;13773;7831;6905;22;20082008
A-1 Pictures;13;8.991;13;168;1008204;32125;5.71839E+11
Pierrot;26;8.731;49;2690;73407;1109;3212732127
Wit Studio;12;8.471;153;61;1706259;40064;1.04744E+13
OLM;25;8.471;154;389;596940;10140;2.51268E+11
Production I.G;24;8.161;446;1123;232059;3246;1.17167E+11
P.A. Works;12;8.121;492;823;313648;2611;1.51816E+11
Ajia-do;10;8.071;566;1451;173724;971;8404684046
OLM;12;8.011;657;456;517991;3941;2.58331E+11
J.C.Staff;12;7.851;923;2709;72661;341;2642926429
MAPPA;11;7.821;988;2387;88754;638;3551635516
Geek Toys;12;7.751;1169;948;271439;3431;9650996509
Toei Animation;100;7.731;1218;2613;76566;644;2596325963
Okuruto Noboru;12;7.721;1231;554;440676;4270;2.28441E+11
Sunrise;13;7.661;1388;3684;41460;444;1656316563
Encourage Films;12;7.551;1770;2173;102961;461;4510045100
Bandai Namco Pictures;13;7.481;2044;2781;69397;428;2658526585
Project No.9;12;7.391;2405;1015;256821;1056;1.08323E+11
LIDENFILMS Kyoto Studio;12;7.351;2596;5852;14233;58;58845884
ENGI;12;7.321;2760;740;343246;2241;1.78288E+11
Studio 3Hz;12;7.311;2791;3989;35135;174;1190711907
