,jp_title,char_name,fav,img,colors
8694,Jujutsu Kaisen 2nd Season,Satoru Gojou (五条 悟),61962,https://cdn.myanimelist.net/images/characters/15/422168.jpg,"[[180, 198, 234], [130, 134, 154], [18, 9, 8], [37, 26, 29], [45, 30, 3], [64, 48, 56], [66, 51, 6], [95, 79, 89], [105, 85, 11], [133, 94, 106], [150, 128, 9], [177, 164, 173], [208, 187, 195], [227, 217, 223], [244, 238, 243]]"
8774,Bungou Stray Dogs 5th Season,Osamu Dazai (太宰 治),35855,https://cdn.myanimelist.net/images/characters/5/307236.jpg,"[[203, 221, 238], [163, 183, 198], [131, 161, 179], [115, 145, 164], [93, 110, 122], [71, 85, 95], [47, 54, 65], [6, 10, 15], [25, 30, 35], [36, 42, 50], [139, 125, 113], [174, 170, 167], [209, 203, 193], [237, 240, 242], [254, 254, 254]]"
9368,Sousou no Frieren,Frieren  (フリーレン),22759,https://cdn.myanimelist.net/images/characters/7/525105.jpg,"[[232, 241, 253], [178, 197, 225], [124, 186, 215], [78, 122, 144], [50, 71, 99], [26, 27, 30], [50, 52, 59], [87, 83, 83], [113, 108, 115], [139, 136, 144], [169, 165, 171], [68, 54, 187], [204, 189, 194], [242, 231, 237], [251, 249, 251]]"
9468,Dr. Stone: New World Part 2,Senkuu Ishigami (石神 千空),22822,https://cdn.myanimelist.net/images/characters/8/380950.jpg,"[[206, 222, 238], [185, 202, 218], [172, 193, 234], [160, 179, 215], [140, 161, 200], [128, 146, 173], [107, 122, 158], [92, 106, 148], [81, 96, 114], [57, 70, 120], [42, 54, 87], [15, 22, 41], [153, 174, 150], [80, 158, 250], [236, 247, 254]]"
9829,16bit Sensation: Another Layer,Saber  (セイバー),32380,https://cdn.myanimelist.net/images/characters/6/275276.jpg,"[[226, 230, 241], [180, 212, 236], [153, 180, 215], [118, 144, 193], [79, 104, 170], [47, 70, 135], [46, 39, 73], [34, 8, 12], [83, 25, 20], [141, 76, 77], [159, 136, 145], [195, 120, 90], [224, 151, 114], [234, 184, 150], [241, 216, 193]]"
10090,Jujutsu Kaisen 2nd Season,Satoru Gojou (五条 悟),61961,https://cdn.myanimelist.net/images/characters/15/422168.jpg,"[[180, 198, 234], [130, 134, 154], [18, 9, 8], [37, 26, 29], [45, 30, 3], [64, 48, 56], [66, 51, 6], [95, 79, 89], [105, 85, 11], [133, 94, 106], [150, 128, 9], [177, 164, 173], [208, 187, 195], [227, 217, 223], [244, 238, 243]]"
10280,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,Kiyotaka Ayanokouji (綾小路 清隆),36298,https://cdn.myanimelist.net/images/characters/4/539058.jpg,"[[209, 228, 249], [191, 201, 235], [160, 159, 201], [121, 117, 167], [36, 18, 46], [89, 53, 74], [118, 89, 107], [102, 38, 130], [153, 136, 143], [182, 145, 94], [94, 46, 183], [212, 185, 129], [253, 237, 138], [251, 251, 253], [254, 250, 73]]"
10813,Sousou no Frieren,Frieren  (フリーレン),22758,https://cdn.myanimelist.net/images/characters/7/525105.jpg,"[[232, 241, 253], [178, 197, 225], [124, 186, 215], [78, 122, 144], [50, 71, 99], [26, 27, 30], [50, 52, 59], [87, 83, 83], [113, 108, 115], [139, 136, 144], [169, 165, 171], [68, 54, 187], [204, 189, 194], [242, 231, 237], [251, 249, 251]]"
11023,Kimetsu no Yaiba: Hashira Geiko-hen,Tanjirou Kamado (竈門 炭治郎),24664,https://cdn.myanimelist.net/images/characters/6/386735.jpg,"[[177, 210, 248], [159, 182, 226], [128, 131, 168], [91, 77, 139], [55, 49, 95], [28, 21, 50], [9, 5, 11], [41, 40, 21], [60, 54, 13], [83, 64, 7], [90, 92, 4], [126, 100, 67], [118, 152, 7], [214, 209, 203], [242, 244, 250]]"
11043,Kono Subarashii Sekai ni Shukufuku wo! 3,Megumin  (めぐみん),41487,https://cdn.myanimelist.net/images/characters/14/349249.jpg,"[[222, 240, 252], [197, 205, 223], [84, 162, 218], [162, 161, 173], [100, 118, 148], [70, 67, 82], [52, 53, 64], [12, 22, 110], [34, 38, 48], [15, 20, 37], [92, 86, 105], [29, 54, 145], [41, 87, 200], [116, 205, 244], [252, 253, 253]]"
11044,Kono Subarashii Sekai ni Shukufuku wo! 3,Kazuma Satou (佐藤 和真),20776,https://cdn.myanimelist.net/images/characters/8/301302.jpg,"[[190, 216, 238], [128, 190, 214], [147, 169, 190], [116, 131, 149], [96, 108, 134], [86, 88, 110], [65, 68, 82], [73, 69, 38], [111, 107, 50], [198, 155, 116], [227, 193, 153], [235, 214, 186], [238, 236, 231], [245, 231, 207], [250, 249, 244]]"
11063,Tensei shitara Slime Datta Ken 3rd Season,Rimuru Tempest (リムル＝テンペスト),23553,https://cdn.myanimelist.net/images/characters/4/495795.jpg,"[[218, 231, 247], [144, 164, 199], [122, 128, 142], [35, 73, 89], [21, 15, 17], [77, 49, 41], [107, 79, 70], [122, 92, 83], [180, 121, 58], [192, 146, 86], [207, 170, 112], [216, 194, 163], [241, 228, 196], [246, 238, 217], [253, 253, 252]]"
11083,Boku no Hero Academia 7th Season,Izuku Midoriya (緑谷 出久),25534,https://cdn.myanimelist.net/images/characters/7/299404.jpg,"[[184, 217, 252], [94, 131, 185], [75, 89, 110], [45, 53, 67], [3, 6, 52], [3, 4, 4], [33, 39, 7], [75, 68, 6], [76, 98, 21], [77, 107, 4], [2, 2, 118], [126, 128, 130], [3, 3, 161], [180, 174, 167], [248, 248, 249]]"
11085,Boku no Hero Academia 7th Season,Shouto Todoroki (轟 焦凍),25438,https://cdn.myanimelist.net/images/characters/12/332527.jpg,"[[189, 220, 251], [172, 187, 203], [108, 142, 188], [85, 107, 185], [64, 75, 144], [39, 47, 87], [21, 19, 81], [40, 29, 23], [61, 45, 40], [88, 76, 75], [117, 96, 91], [114, 116, 123], [39, 30, 140], [157, 157, 149], [237, 240, 239]]"
11087,Boku no Hero Academia 7th Season,Katsuki Bakugou (爆豪 勝己),23064,https://cdn.myanimelist.net/images/characters/12/299406.jpg,"[[181, 220, 250], [148, 182, 209], [111, 142, 169], [76, 119, 163], [95, 105, 114], [56, 73, 90], [32, 44, 55], [3, 9, 48], [5, 5, 11], [78, 63, 4], [2, 1, 113], [2, 2, 141], [1, 1, 166], [180, 173, 164], [248, 248, 248]]"
11113,Ookami to Koushinryou: Merchant Meets the Wise Wolf,Holo  (ホロ),28677,https://cdn.myanimelist.net/images/characters/15/319492.jpg,"[[220, 233, 249], [149, 197, 242], [137, 153, 201], [57, 79, 137], [6, 32, 110], [28, 21, 65], [8, 47, 141], [140, 86, 143], [157, 164, 125], [141, 194, 165], [54, 109, 200], [186, 215, 195], [219, 172, 222], [61, 138, 233], [242, 250, 251]]"
11267,Date A Live V,Kurumi Tokisaki (時崎 狂三),22498,https://cdn.myanimelist.net/images/characters/8/310255.jpg,"[[231, 240, 253], [200, 211, 244], [169, 179, 226], [144, 148, 176], [104, 107, 130], [74, 72, 84], [25, 21, 98], [13, 12, 60], [9, 8, 13], [29, 27, 29], [48, 45, 52], [49, 47, 143], [76, 81, 195], [104, 136, 224], [252, 253, 254]]"
11333,Kuroshitsuji: Kishuku Gakkou-hen,Sebastian Michaelis (セバスチャン・ミカエリス),22327,https://cdn.myanimelist.net/images/characters/6/44160.jpg,"[[166, 174, 184], [141, 151, 161], [111, 126, 145], [91, 101, 119], [75, 76, 87], [6, 6, 8], [11, 10, 13], [19, 19, 22], [28, 27, 33], [39, 39, 45], [53, 52, 58], [65, 65, 71], [196, 203, 211], [219, 226, 233], [243, 248, 252]]"
12668,Sword Art Online Alternative: Gun Gale Online II,Kazuto Kirigaya (桐ヶ谷 和人),40327,https://cdn.myanimelist.net/images/characters/7/204821.jpg,"[[175, 214, 253], [163, 200, 239], [130, 158, 192], [75, 104, 160], [48, 63, 93], [15, 5, 5], [26, 14, 13], [38, 26, 25], [56, 43, 41], [79, 62, 57], [103, 89, 89], [132, 125, 127], [168, 158, 159], [218, 198, 193], [250, 249, 249]]"
