jp_title;char_name;fav;img
Kumo desu ga, Nani ka?;D  (D);80;https://cdn.myanimelist.net/images/characters/13/428943.jpg
Kumo desu ga, Nani ka?;Wrath  (ラース / 笹島 京也);77;https://cdn.myanimelist.net/images/characters/4/435365.jpg
Kumo desu ga, Nani ka?;Karnatia Seri Anabald (カルナータ・アナバルト);45;https://cdn.myanimelist.net/images/characters/3/368292.jpg
Kumo desu ga, Nani ka?;Filimøs Harrifenas (フィリメス・ハァイフェナス);16;https://cdn.myanimelist.net/images/characters/10/423675.jpg
Kumo desu ga, Nani ka?;Potimas Harrifenas (ポティマス・ハァイフェナス);15;https://cdn.myanimelist.net/images/characters/9/347459.jpg
Beastars 2nd Season;Legoshi  (レゴシ);8004;https://cdn.myanimelist.net/images/characters/16/402912.jpg
Beastars 2nd Season;Louis  (ルイ);1150;https://cdn.myanimelist.net/images/characters/5/402505.jpg
Beastars 2nd Season;Haru  (ハル);678;https://cdn.myanimelist.net/images/characters/13/402716.jpg
Beastars 2nd Season;Gouhin   (ゴウヒン);560;https://cdn.myanimelist.net/images/characters/5/400819.jpg
Beastars 2nd Season;Juno  (ジュノ);383;https://cdn.myanimelist.net/images/characters/9/402143.jpg
Beastars 2nd Season;Jack  (ジャック);382;https://cdn.myanimelist.net/images/characters/16/402400.jpg
Beastars 2nd Season;Pina  (ピナ);205;https://cdn.myanimelist.net/images/characters/14/431050.jpg
Beastars 2nd Season;Bill  (ビル);34;https://cdn.myanimelist.net/images/characters/6/402137.jpg
Beastars 2nd Season;Ibuki  (イブキ);24;https://cdn.myanimelist.net/images/characters/12/478155.jpg
Beastars 2nd Season;Collot  (コロ);20;https://cdn.myanimelist.net/images/characters/2/402401.jpg
Nanatsu no Taizai: Funnu no Shinpan;Ban  (バン);11892;https://cdn.myanimelist.net/images/characters/14/267813.jpg
Nanatsu no Taizai: Funnu no Shinpan;Meliodas  (メリオダス);9686;https://cdn.myanimelist.net/images/characters/2/255447.jpg
Nanatsu no Taizai: Funnu no Shinpan;Escanor  (エスカノール);7782;https://cdn.myanimelist.net/images/characters/14/372194.jpg
Nanatsu no Taizai: Funnu no Shinpan;King  (キング);2197;https://cdn.myanimelist.net/images/characters/16/277006.jpg
Nanatsu no Taizai: Funnu no Shinpan;Hawk  (ホーク);1587;https://cdn.myanimelist.net/images/characters/5/551814.jpg
Nanatsu no Taizai: Funnu no Shinpan;Gowther  (ゴウセル);1442;https://cdn.myanimelist.net/images/characters/3/277118.jpg
Nanatsu no Taizai: Funnu no Shinpan;Diane  (ディアンヌ);1349;https://cdn.myanimelist.net/images/characters/9/273829.jpg
Nanatsu no Taizai: Funnu no Shinpan;Elizabeth Liones (エリザベス・リオネス);1285;https://cdn.myanimelist.net/images/characters/11/255449.jpg
Nanatsu no Taizai: Funnu no Shinpan;Merlin  (マーリン);906;https://cdn.myanimelist.net/images/characters/6/277480.jpg
Nanatsu no Taizai: Funnu no Shinpan;Zeldris  (ゼルドリス);288;https://cdn.myanimelist.net/images/characters/7/400299.jpg
Jaku-Chara Tomozaki-kun;Aoi Hinami (日南 葵);439;https://cdn.myanimelist.net/images/characters/6/442203.jpg
Jaku-Chara Tomozaki-kun;Fumiya Tomozaki (友崎 文也);339;https://cdn.myanimelist.net/images/characters/6/395388.jpg
Jaku-Chara Tomozaki-kun;Minami Nanami (七海 みなみ);673;https://cdn.myanimelist.net/images/characters/2/373501.jpg
Jaku-Chara Tomozaki-kun;Fuuka Kikuchi (菊池 風香);370;https://cdn.myanimelist.net/images/characters/10/444110.jpg
Jaku-Chara Tomozaki-kun;Yuzu Izumi (泉 優鈴);27;https://cdn.myanimelist.net/images/characters/10/442205.jpg
Jaku-Chara Tomozaki-kun;Hanabi Natsubayashi (夏林 花火);18;https://cdn.myanimelist.net/images/characters/4/442206.jpg
Jaku-Chara Tomozaki-kun;Takahiro Mizusawa (水沢 孝弘);15;https://cdn.myanimelist.net/images/characters/13/437340.jpg
Jaku-Chara Tomozaki-kun;Tsugumi Narita (成田 つぐみ);10;https://cdn.myanimelist.net/images/characters/9/532840.jpg
Jaku-Chara Tomozaki-kun;Shuuji Nakamura (中村 修二);5;https://cdn.myanimelist.net/images/characters/7/416440.jpg
Jaku-Chara Tomozaki-kun;Takei  (竹井);4;https://cdn.myanimelist.net/images/characters/11/533906.jpg
Ore dake Haireru Kakushi Dungeon;Emma Brightness (エマ・ブライトネス);203;https://cdn.myanimelist.net/images/characters/14/418226.jpg
Ore dake Haireru Kakushi Dungeon;Noir Stalgia (ノル・スタルジア);148;https://cdn.myanimelist.net/images/characters/12/418228.jpg
Ore dake Haireru Kakushi Dungeon;Olivia Servant (オリヴィア・サーヴァント);106;https://cdn.myanimelist.net/images/characters/3/418225.jpg
Ore dake Haireru Kakushi Dungeon;Luna Heela (ルナ・ヒーラー);92;https://cdn.myanimelist.net/images/characters/14/424887.jpg
Ore dake Haireru Kakushi Dungeon;Lola Metrose (ローラ・メトラーゼ);63;https://cdn.myanimelist.net/images/characters/2/418224.jpg
Ore dake Haireru Kakushi Dungeon;Elna Stongs ;43;https://cdn.myanimelist.net/images/characters/6/430435.jpg
Ore dake Haireru Kakushi Dungeon;Alice Stalgia (アリス・スタルジア);31;https://cdn.myanimelist.net/images/characters/10/424886.jpg
Ore dake Haireru Kakushi Dungeon;Maria Fianna Albert (マリア・フィアナ・アルバート);15;https://cdn.myanimelist.net/images/characters/8/433884.jpg
Ore dake Haireru Kakushi Dungeon;Amane  (アマネ);9;https://cdn.myanimelist.net/images/characters/16/434002.jpg
Ore dake Haireru Kakushi Dungeon;Leila Overlock (レイラ・オバーロック);3;https://cdn.myanimelist.net/images/characters/11/490959.jpg
Kemono Jihen;Kabane Kusaka (日下 夏羽);480;https://cdn.myanimelist.net/images/characters/7/430564.jpg
Kemono Jihen;Akira Iwakiyamayukisatoshironanogojuurokushi (岩木山雪里白那之五十六子 晶);191;https://cdn.myanimelist.net/images/characters/4/397076.jpg
Kemono Jihen;Shiki Tademaru (蓼丸 織);106;https://cdn.myanimelist.net/images/characters/2/397079.jpg
Kemono Jihen;Kohachi Inugami (隠神 鼓八千);69;https://cdn.myanimelist.net/images/characters/12/430567.jpg
Kemono Jihen;Kon  (紺);349;https://cdn.myanimelist.net/images/characters/14/430568.jpg
Kemono Jihen;Mihai Florescu (ミハイ フロレスク);139;https://cdn.myanimelist.net/images/characters/7/397078.jpg
Kemono Jihen;Nobimaru  (野火丸);83;https://cdn.myanimelist.net/images/characters/3/430571.jpg
Kemono Jihen;Yui Iwakiyamayukisatoshironanogojuurokushi (岩木山雪里白那之五十六子 結);27;https://cdn.myanimelist.net/images/characters/10/397080.jpg
Kemono Jihen;Aya Tademaru (蓼丸 綾);15;https://cdn.myanimelist.net/images/characters/10/478513.jpg
Kemono Jihen;Yoko Inari (飯生 妖子);9;https://cdn.myanimelist.net/images/characters/3/478515.jpg
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari;Lloyd Belladonna (ロイド・ベラドンナ);66;https://cdn.myanimelist.net/images/characters/9/403753.jpg
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari;Selen Hemein (セレン);31;https://cdn.myanimelist.net/images/characters/2/403758.jpg
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari;Marie  (マリー);24;https://cdn.myanimelist.net/images/characters/5/403756.jpg
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari;Phyllo  (フィロ);18;https://cdn.myanimelist.net/images/characters/3/403755.jpg
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari;Alka  (アルカ);14;https://cdn.myanimelist.net/images/characters/4/403754.jpg
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari;Riho Flavin (リホ);11;https://cdn.myanimelist.net/images/characters/4/403757.jpg
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari;Shouma  (ショウマ);5;https://cdn.myanimelist.net/images/characters/3/439793.jpg
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari;Alan  (アラン);4;https://cdn.myanimelist.net/images/characters/6/436167.jpg
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari;Meltfan  (メルトファン);3;https://cdn.myanimelist.net/images/characters/14/437718.jpg
Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari;Eug  ;1;https://cdn.myanimelist.net/images/characters/8/476744.jpg
Hataraku Saibou!!;Hakkekkyuu U-1146  (白血球 U-1146番);735;https://cdn.myanimelist.net/images/characters/5/434388.jpg
Hataraku Saibou!!;Sekkekkyuu AE3803  (赤血球 AE3803);411;https://cdn.myanimelist.net/images/characters/14/366173.jpg
Hataraku Saibou!!;Ippan Saibou 1  (一般細胞1);2;https://cdn.myanimelist.net/images/characters/7/428560.jpg
Hataraku Saibou!!;Kesshouban  (血小板);458;https://cdn.myanimelist.net/images/characters/12/361167.jpg
Hataraku Saibou!!;Macrophage  (マクロファ―ジ);109;https://cdn.myanimelist.net/images/characters/5/361165.jpg
Hataraku Saibou!!;Killer T Saibou  (キラーT細胞);45;https://cdn.myanimelist.net/images/characters/15/361166.jpg
Hataraku Saibou!!;Jujou Saibou  (樹状細胞);43;https://cdn.myanimelist.net/images/characters/15/362899.jpg
Hataraku Saibou!!;Gan Saibou  (がん細胞);41;https://cdn.myanimelist.net/images/characters/4/372382.jpg
