,jp_title,char_name,fav,img,colors
8764,Masamune-kun no Revenge R,Aki Adagaki (安達垣 愛姫),2006,https://cdn.myanimelist.net/images/characters/12/229719.jpg,"[[167, 176, 198], [64, 90, 113], [2, 2, 1], [31, 34, 26], [53, 53, 37], [49, 56, 58], [66, 67, 48], [65, 73, 73], [80, 82, 62], [77, 86, 85], [96, 100, 81], [92, 101, 101], [114, 117, 97], [97, 113, 118], [113, 125, 131], [128, 135, 121], [133, 148, 151], [146, 153, 135], [161, 117, 56], [155, 167, 163], [173, 187, 179], [201, 194, 157], [192, 201, 205], [212, 175, 93], [204, 220, 223], [233, 198, 123], [237, 234, 197], [222, 237, 238], [244, 249, 250], [253, 254, 254]]"
8765,Masamune-kun no Revenge R,Masamune Makabe (真壁 政宗),1502,https://cdn.myanimelist.net/images/characters/9/296323.jpg,"[[211, 218, 241], [191, 201, 234], [164, 175, 232], [142, 151, 194], [120, 125, 160], [101, 98, 127], [86, 81, 105], [37, 27, 40], [54, 39, 49], [69, 49, 58], [69, 61, 82], [85, 59, 66], [98, 70, 78], [112, 89, 99], [123, 103, 112], [125, 70, 75], [132, 116, 136], [138, 85, 92], [147, 102, 114], [158, 120, 133], [158, 133, 151], [158, 146, 168], [179, 151, 161], [175, 167, 188], [191, 165, 175], [196, 180, 195], [209, 194, 207], [220, 210, 222], [233, 223, 234], [254, 254, 254]]"
8904,Rurouni Kenshin: Meiji Kenkaku Romantan (2023),Kenshin Himura (緋村 剣心),13043,https://cdn.myanimelist.net/images/characters/8/73810.jpg,"[[220, 240, 253], [193, 221, 252], [176, 209, 250], [158, 196, 244], [196, 199, 211], [143, 184, 238], [181, 183, 195], [137, 172, 216], [117, 162, 219], [154, 159, 172], [101, 132, 189], [130, 137, 154], [77, 96, 167], [98, 108, 130], [61, 69, 144], [50, 64, 103], [53, 51, 127], [35, 40, 122], [25, 35, 88], [30, 30, 41], [7, 17, 57], [5, 8, 30], [61, 51, 44], [84, 78, 76], [47, 75, 168], [82, 79, 200], [54, 93, 200], [94, 96, 204], [224, 221, 223], [249, 251, 252]]"
9104,Genjitsu no Yohane: Sunshine in the Mirror,Yoshiko Tsushima (津島 善子),2028,https://cdn.myanimelist.net/images/characters/9/318793.jpg,"[[230, 237, 250], [218, 227, 251], [198, 206, 243], [165, 179, 223], [146, 160, 226], [148, 152, 185], [123, 125, 154], [106, 108, 186], [75, 78, 122], [44, 37, 80], [20, 12, 35], [41, 24, 16], [48, 30, 33], [62, 38, 20], [64, 45, 48], [81, 62, 64], [86, 56, 33], [99, 76, 77], [107, 72, 41], [108, 95, 102], [124, 85, 50], [128, 115, 120], [139, 99, 60], [160, 120, 78], [160, 137, 134], [165, 152, 147], [180, 161, 159], [190, 182, 181], [223, 217, 216], [251, 248, 249]]"
9105,Genjitsu no Yohane: Sunshine in the Mirror,You Watanabe (渡辺 曜),1687,https://cdn.myanimelist.net/images/characters/3/303936.jpg,"[[211, 228, 253], [197, 217, 250], [184, 202, 226], [167, 185, 211], [140, 169, 218], [157, 174, 196], [143, 161, 186], [129, 147, 174], [118, 137, 162], [97, 115, 143], [78, 93, 115], [61, 74, 90], [39, 53, 75], [24, 30, 44], [117, 60, 29], [115, 122, 126], [58, 42, 137], [163, 152, 123], [94, 74, 182], [177, 198, 201], [115, 89, 207], [217, 206, 157], [214, 219, 223], [228, 242, 245], [245, 245, 197], [249, 203, 119], [249, 247, 240], [250, 247, 166], [250, 235, 145], [251, 222, 127]]"
9124,FLCL: Grunge,Haruko Haruhara (ハルハラ・ハル子),7326,https://cdn.myanimelist.net/images/characters/11/523359.jpg,"[[210, 238, 250], [162, 229, 251], [191, 225, 247], [176, 200, 226], [125, 165, 233], [163, 176, 194], [138, 153, 177], [98, 130, 170], [93, 96, 127], [60, 66, 123], [52, 52, 65], [40, 33, 35], [61, 43, 41], [78, 71, 86], [88, 52, 42], [116, 67, 50], [131, 99, 93], [153, 99, 43], [129, 116, 155], [69, 74, 179], [182, 146, 134], [162, 123, 215], [223, 203, 193], [69, 82, 227], [190, 161, 230], [79, 109, 233], [217, 200, 239], [56, 201, 241], [231, 245, 250], [251, 252, 252]]"
9368,Sousou no Frieren,Frieren  (フリーレン),22759,https://cdn.myanimelist.net/images/characters/7/525105.jpg,"[[232, 241, 254], [176, 195, 226], [134, 192, 220], [122, 186, 216], [113, 153, 180], [77, 123, 145], [67, 96, 115], [45, 69, 86], [37, 31, 113], [30, 37, 46], [22, 21, 19], [50, 50, 53], [68, 65, 68], [82, 78, 81], [97, 92, 98], [111, 105, 112], [122, 111, 52], [123, 120, 127], [137, 133, 140], [153, 147, 153], [165, 161, 168], [181, 177, 181], [70, 55, 191], [202, 192, 196], [205, 179, 188], [211, 204, 209], [221, 219, 225], [238, 229, 233], [244, 232, 238], [251, 250, 251]]"
9370,Sousou no Frieren,Fern  (フェルン),3894,https://cdn.myanimelist.net/images/characters/13/519083.jpg,"[[210, 235, 254], [194, 198, 229], [156, 188, 228], [149, 165, 194], [138, 141, 154], [113, 120, 130], [92, 99, 109], [72, 77, 89], [34, 26, 31], [46, 46, 48], [54, 28, 44], [59, 59, 61], [73, 39, 57], [85, 44, 62], [89, 51, 79], [103, 61, 95], [117, 69, 108], [126, 70, 119], [134, 77, 128], [140, 81, 140], [144, 89, 148], [165, 164, 172], [194, 110, 152], [199, 119, 160], [187, 193, 200], [203, 131, 168], [206, 158, 194], [222, 222, 225], [236, 242, 245], [249, 248, 248]]"
9372,Sousou no Frieren,Stark  (シュタルク),2120,https://cdn.myanimelist.net/images/characters/2/523292.jpg,"[[188, 218, 253], [213, 216, 230], [142, 194, 240], [125, 158, 202], [135, 143, 226], [114, 129, 160], [88, 106, 136], [57, 74, 154], [69, 82, 108], [42, 59, 134], [35, 48, 112], [55, 60, 79], [24, 38, 89], [39, 41, 52], [14, 26, 71], [10, 18, 48], [7, 9, 14], [22, 23, 31], [31, 31, 39], [49, 47, 50], [45, 66, 161], [156, 158, 166], [49, 63, 172], [51, 72, 178], [54, 86, 191], [187, 188, 197], [64, 104, 203], [115, 126, 225], [240, 234, 232], [245, 243, 243]]"
9374,Sousou no Frieren,Himmel  (ヒンメル),3040,https://cdn.myanimelist.net/images/characters/9/523295.jpg,"[[214, 239, 253], [208, 218, 227], [191, 199, 209], [175, 187, 199], [165, 174, 186], [31, 29, 31], [66, 66, 70], [71, 45, 38], [89, 88, 92], [101, 61, 49], [106, 111, 118], [125, 84, 67], [129, 105, 88], [129, 134, 141], [148, 123, 107], [151, 155, 162], [173, 141, 122], [187, 159, 140], [199, 176, 164], [219, 192, 173], [231, 202, 180], [235, 209, 189], [224, 234, 240], [240, 220, 202], [229, 238, 243], [247, 222, 183], [235, 243, 249], [249, 239, 223], [252, 252, 250], [253, 223, 170]]"
