,test,Unnamed: 0,jp_title,en_title,char_name,fav,img,colors
37,37,37,Dr. Stone: Stone Wars,,Suika  (スイカ),Member Favorites: 808,https://cdn.myanimelist.net/images/characters/14/413992.jpg,"[[85, 200, 180], [254, 254, 254], [66, 51, 37], [50, 147, 124], [218, 228, 231], [147, 164, 172], [38, 101, 85], [105, 83, 60], [102, 120, 128], [30, 61, 62]]"
38,38,38,Dr. Stone: Stone Wars,,Tsukasa Shishiou (獅子王 司),Member Favorites: 585,https://cdn.myanimelist.net/images/characters/6/385096.jpg,"[[17, 18, 47], [167, 197, 234], [96, 110, 149], [49, 59, 79], [35, 34, 56], [106, 135, 177], [68, 79, 97], [37, 49, 104], [233, 227, 239], [70, 84, 130]]"
39,39,39,Dr. Stone: Stone Wars,,Kaseki  (カセキ),Member Favorites: 585,https://cdn.myanimelist.net/images/characters/2/390547.jpg,"[[75, 92, 115], [226, 233, 237], [160, 170, 180], [169, 194, 222], [86, 176, 150], [48, 56, 69], [14, 23, 41], [116, 130, 152], [119, 196, 183], [193, 208, 218]]"
40,40,40,Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2,Rimuru Tempest (リムル＝テンペスト),"Member Favorites: 23,554",https://cdn.myanimelist.net/images/characters/4/495795.jpg,"[[99, 118, 135], [251, 248, 240], [77, 51, 44], [184, 132, 71], [207, 171, 117], [148, 165, 197], [218, 231, 247], [117, 88, 78], [241, 228, 198], [22, 22, 25]]"
41,41,41,Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2,Milim Nava (ミリム・ナーヴァ),"Member Favorites: 2,918",https://cdn.myanimelist.net/images/characters/6/447552.jpg,"[[159, 147, 143], [64, 68, 117], [199, 212, 229], [160, 151, 224], [107, 110, 119], [78, 68, 72], [97, 82, 165], [32, 30, 40], [232, 227, 231], [125, 147, 186]]"
42,42,42,Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2,Diablo  (ディアブロ),"Member Favorites: 2,803",https://cdn.myanimelist.net/images/characters/12/476920.jpg,"[[230, 208, 171], [55, 48, 50], [252, 248, 244], [84, 50, 112], [108, 110, 119], [188, 214, 247], [68, 68, 203], [31, 26, 28], [126, 151, 197], [170, 175, 176]]"
43,43,43,Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2,Shuna  (シュナ),"Member Favorites: 1,558",https://cdn.myanimelist.net/images/characters/16/384887.jpg,"[[213, 206, 246], [126, 123, 154], [77, 75, 117], [248, 250, 249], [164, 167, 217], [148, 127, 212], [34, 32, 70], [202, 193, 189], [222, 230, 245], [92, 109, 221]]"
44,44,44,Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2,Shion  (シオン),"Member Favorites: 1,480",https://cdn.myanimelist.net/images/characters/8/381150.jpg,"[[245, 210, 230], [130, 85, 110], [167, 105, 143], [187, 204, 211], [55, 43, 55], [140, 158, 199], [202, 222, 249], [118, 135, 153], [202, 129, 145], [83, 74, 99]]"
45,45,45,Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2,Veldora Tempest (ヴェルドラ＝テンペスト),"Member Favorites: 1,418",https://cdn.myanimelist.net/images/characters/7/360786.jpg,"[[254, 254, 254], [43, 25, 18], [208, 158, 132], [128, 87, 65], [242, 234, 230], [27, 10, 5], [157, 124, 108], [87, 58, 44], [229, 179, 153], [218, 213, 210]]"
46,46,46,Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2,Benimaru  (ベニマル),"Member Favorites: 1,149",https://cdn.myanimelist.net/images/characters/6/447550.jpg,"[[93, 58, 202], [178, 208, 243], [49, 17, 130], [104, 133, 190], [72, 76, 140], [22, 10, 96], [54, 53, 87], [123, 158, 178], [14, 13, 24], [183, 220, 234]]"
47,47,47,Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2,Ranga  (ランガ（嵐牙）),Member Favorites: 671,https://cdn.myanimelist.net/images/characters/16/360795.jpg,"[[223, 213, 214], [75, 45, 36], [132, 105, 101], [254, 253, 253], [241, 234, 234], [24, 16, 17], [183, 181, 184], [98, 82, 82], [149, 141, 143], [47, 34, 33]]"
48,48,48,Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2,Souei  (ソウエイ),Member Favorites: 592,https://cdn.myanimelist.net/images/characters/6/360791.jpg,"[[254, 254, 254], [110, 74, 65], [145, 138, 139], [44, 27, 24], [164, 190, 219], [228, 223, 220], [100, 99, 107], [185, 175, 168], [155, 121, 96], [69, 48, 44]]"
49,49,49,Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2,Gobta  (ゴブタ),Member Favorites: 504,https://cdn.myanimelist.net/images/characters/12/381715.jpg,"[[151, 210, 198], [20, 32, 42], [229, 237, 238], [86, 111, 116], [130, 242, 252], [120, 138, 142], [174, 217, 210], [58, 69, 78], [89, 229, 251], [158, 166, 173]]"
50,50,50,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re:ZERO -Starting Life in Another World- Season 2 Part 2,Emilia  (エミリア),"Member Favorites: 23,267",https://cdn.myanimelist.net/images/characters/16/551926.jpg,"[[236, 233, 237], [131, 103, 126], [178, 173, 183], [252, 251, 253], [84, 70, 86], [230, 238, 252], [225, 217, 226], [205, 196, 210], [155, 141, 156], [228, 161, 185]]"
51,51,51,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re:ZERO -Starting Life in Another World- Season 2 Part 2,Subaru Natsuki (ナツキ・スバル),"Member Favorites: 21,895",https://cdn.myanimelist.net/images/characters/15/315153.jpg,"[[254, 254, 254], [114, 116, 122], [161, 172, 190], [73, 68, 70], [197, 222, 252], [71, 112, 199], [89, 174, 250], [126, 156, 237], [91, 93, 96], [39, 40, 47]]"
52,52,52,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re:ZERO -Starting Life in Another World- Season 2 Part 2,Rem  (レム),"Member Favorites: 45,866",https://cdn.myanimelist.net/images/characters/9/311327.jpg,"[[229, 145, 141], [237, 246, 253], [121, 64, 86], [191, 176, 236], [199, 103, 109], [237, 190, 210], [63, 19, 40], [209, 144, 183], [249, 182, 171], [150, 118, 141]]"
53,53,53,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re:ZERO -Starting Life in Another World- Season 2 Part 2,Echidna  (エキドナ),"Member Favorites: 5,287",https://cdn.myanimelist.net/images/characters/13/319348.jpg,"[[56, 31, 13], [207, 168, 168], [246, 248, 251], [93, 64, 100], [160, 134, 167], [75, 36, 43], [193, 141, 133], [223, 202, 213], [137, 101, 115], [83, 51, 77]]"
54,54,54,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re:ZERO -Starting Life in Another World- Season 2 Part 2,Beatrice  (ベアトリス),"Member Favorites: 3,599",https://cdn.myanimelist.net/images/characters/11/563877.jpg,"[[190, 150, 240], [201, 245, 252], [119, 116, 130], [91, 54, 179], [151, 150, 183], [226, 236, 253], [41, 37, 60], [214, 213, 220], [248, 247, 249], [72, 64, 112]]"
55,55,55,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re:ZERO -Starting Life in Another World- Season 2 Part 2,Ram  (ラム),"Member Favorites: 2,667",https://cdn.myanimelist.net/images/characters/15/306390.jpg,"[[168, 140, 243], [241, 241, 251], [78, 76, 125], [156, 233, 234], [61, 165, 170], [212, 213, 250], [104, 88, 197], [144, 138, 167], [189, 176, 242], [34, 44, 58]]"
56,56,56,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re:ZERO -Starting Life in Another World- Season 2 Part 2,Petelgeuse Romanée-Conti (ペテルギウス・ロマネコンティ),"Member Favorites: 1,406",https://cdn.myanimelist.net/images/characters/5/433803.jpg,"[[74, 92, 46], [202, 221, 205], [36, 31, 37], [89, 104, 113], [124, 133, 140], [218, 245, 224], [183, 163, 162], [57, 58, 58], [70, 82, 96], [25, 17, 22]]"
57,57,57,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re:ZERO -Starting Life in Another World- Season 2 Part 2,Otto Suwen (オットー・スーウェン),"Member Favorites: 1,080",https://cdn.myanimelist.net/images/characters/3/438832.jpg,"[[238, 241, 233], [79, 114, 57], [186, 191, 207], [85, 96, 113], [147, 191, 109], [95, 90, 218], [150, 239, 246], [132, 144, 160], [219, 231, 247], [56, 83, 45]]"
58,58,58,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re:ZERO -Starting Life in Another World- Season 2 Part 2,Pack  (パック),Member Favorites: 922,https://cdn.myanimelist.net/images/characters/15/300489.jpg,"[[226, 223, 228], [117, 98, 104], [204, 181, 59], [193, 175, 181], [251, 250, 252], [42, 30, 12], [132, 116, 42], [216, 206, 210], [154, 131, 139], [85, 66, 51]]"
59,59,59,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re:ZERO -Starting Life in Another World- Season 2 Part 2,Roswaal L. Mathers (ロズワール・Ｌ・メイザース),Member Favorites: 519,https://cdn.myanimelist.net/images/characters/6/512960.jpg,"[[253, 253, 253], [95, 67, 85], [135, 82, 54], [189, 226, 241], [27, 11, 38], [52, 52, 154], [216, 176, 126], [76, 43, 53], [196, 168, 189], [143, 127, 158]]"
80,80,80,5-toubun no Hanayome ∬,The Quintessential Quintuplets 2,Miku Nakano (中野 三玖),"Member Favorites: 21,635",https://cdn.myanimelist.net/images/characters/15/507743.jpg,"[[93, 100, 173], [250, 253, 253], [84, 85, 97], [205, 150, 129], [173, 193, 229], [212, 231, 251], [115, 133, 201], [248, 238, 211], [50, 47, 50], [132, 66, 60]]"
81,81,81,5-toubun no Hanayome ∬,The Quintessential Quintuplets 2,Nino Nakano (中野 二乃),"Member Favorites: 14,892",https://cdn.myanimelist.net/images/characters/7/437011.jpg,"[[157, 134, 243], [188, 180, 160], [111, 78, 96], [245, 245, 248], [99, 86, 153], [208, 225, 250], [178, 174, 246], [141, 99, 117], [122, 103, 195], [76, 57, 79]]"
82,82,82,5-toubun no Hanayome ∬,The Quintessential Quintuplets 2,Itsuki Nakano (中野 五月),"Member Favorites: 7,773",https://cdn.myanimelist.net/images/characters/5/437010.jpg,"[[115, 107, 236], [222, 204, 212], [92, 82, 173], [160, 177, 221], [77, 74, 125], [206, 227, 252], [251, 251, 252], [116, 91, 220], [136, 139, 246], [159, 93, 74]]"
